epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.592,4.0982,3.8248,4.19676,0.00033,0.01031,0.00017,2e-05,3.43675,3.72975,4.15863,0.0001,0.0001,0.0001
2,40.7041,4.00129,3.83962,4.22184,0.00233,0.07216,0.00129,0.00029,3.43517,3.72301,4.15681,0.000217822,0.000217822,0.000217822
3,59.0217,3.78708,3.72473,4.15659,0.00133,0.04124,0.00071,7e-05,3.43201,3.70986,4.15277,0.000333268,0.000333268,0.000333268
4,77.9365,3.85855,3.53878,4.11954,0.002,0.06186,0.00114,0.0002,3.42876,3.69715,4.14833,0.000446338,0.000446338,0.000446338
5,93.5686,3.79299,3.52695,4.10367,0.00167,0.05155,0.00091,0.0002,3.42446,3.67476,4.14004,0.000557032,0.000557032,0.000557032
6,112.45,3.94978,3.33017,4.04167,0.00233,0.07216,0.00131,0.00034,3.42032,3.65117,4.12789,0.00066535,0.00066535,0.00066535
7,130.603,3.62298,3.28524,4.00789,0.00233,0.07216,0.00133,0.00041,3.41435,3.62512,4.10916,0.000771292,0.000771292,0.000771292
8,149.406,3.44791,3.19358,3.94643,0.00267,0.08247,0.00149,0.00041,3.4079,3.59102,4.09281,0.000874858,0.000874858,0.000874858
9,168.858,3.59912,3.19368,3.89693,0.00267,0.08247,0.00146,0.00046,3.39956,3.55564,4.07569,0.000976048,0.000976048,0.000976048
10,187.56,3.45873,3.14251,3.85404,0.003,0.09278,0.0017,0.00054,3.37947,3.47024,4.03441,0.00107486,0.00107486,0.00107486
11,206.529,3.31884,3.0927,3.76173,0.003,0.09278,0.00173,0.00053,3.36587,3.42641,4.01441,0.0011713,0.0011713,0.0011713
12,224.81,3.42752,3.2209,3.73509,0.00333,0.10309,0.00195,0.00059,3.35753,3.39038,4.00139,0.00126536,0.00126536,0.00126536
13,242.912,3.3551,3.21917,3.66251,0.00333,0.10309,0.00198,0.00059,3.36345,3.3728,4.00424,0.00135705,0.00135705,0.00135705
14,263.17,3.405,3.02893,3.63447,0.011,0.34021,0.00846,0.00283,3.1856,3.23926,3.76778,0.00144636,0.00144636,0.00144636
15,280.821,3.29376,2.9218,3.51942,0.011,0.34021,0.00846,0.00283,3.1856,3.23926,3.76778,0.00153329,0.00153329,0.00153329
16,298.579,3.34079,2.79522,3.4938,0.01233,0.38144,0.01011,0.00275,3.18898,3.25063,3.75796,0.00161785,0.00161785,0.00161785
17,316.034,3.4269,2.88673,3.43956,0.01767,0.54639,0.03782,0.00893,3.03216,3.29554,3.50515,0.0016832,0.0016832,0.0016832
18,333.383,3.33843,4.24803,3.48911,0.01333,0.41237,0.05244,0.01585,3.00798,3.42352,3.29431,0.0016634,0.0016634,0.0016634
19,354.15,3.31901,2.86311,3.41112,0.01333,0.41237,0.05244,0.01585,3.00798,3.42352,3.29431,0.0016436,0.0016436,0.0016436
20,375.158,3.2656,2.89499,3.36014,0.0293,0.14433,0.02534,0.00759,2.9757,3.58654,3.19623,0.0016238,0.0016238,0.0016238
