epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8515,4.466,3.81176,4.21247,0,0,0,0,3.95769,3.70555,4.15685,0.0002,0.0002,0.0002
2,60.1098,4.29849,3.46669,4.14822,0,0,0,0,3.95867,3.70198,4.15421,0.000419584,0.000419584,0.000419584
3,93.8173,4.30243,3.29078,4.02449,0,0,0,0,3.96382,3.69395,4.15412,0.000638733,0.000638733,0.000638733
4,129.263,4.21916,3.27721,3.90827,0,0,0,0,3.99157,3.72616,4.17454,0.000857446,0.000857446,0.000857446
5,166.501,4.14077,2.89966,3.83156,0,0,0,0,4.03564,3.93274,4.24149,0.00107572,0.00107572,0.00107572
6,203.306,3.8759,2.95206,3.80413,0,0,0,0,4.13293,4.11602,4.35194,0.00129356,0.00129356,0.00129356
7,240.364,3.79629,2.89148,3.69641,0,0,0,0,4.21354,4.36704,4.46514,0.00151097,0.00151097,0.00151097
8,278.268,3.63317,2.85269,3.57635,0,0,0,0,4.28506,4.59782,4.56177,0.00172794,0.00172794,0.00172794
9,315.764,3.53679,2.92825,3.50624,0,0,0,0,4.28506,4.59782,4.56177,0.00194448,0.00194448,0.00194448
10,351.51,3.50442,2.87778,3.44495,0.00801,0.05155,0.00466,0.00188,4.15714,4.22477,4.43376,0.00198218,0.00198218,0.00198218
11,384.758,3.62856,3.86683,3.42243,0.05471,0.07216,0.02739,0.00648,3.37019,3.123,3.83104,0.0019802,0.0019802,0.0019802
12,429.389,3.52424,2.94205,3.44006,0.05471,0.07216,0.02739,0.00648,3.37019,3.123,3.83104,0.00197822,0.00197822,0.00197822
13,470.128,3.28159,2.79761,3.30224,0,0,0,0,4.6997,121.723,22.159,0.00197624,0.00197624,0.00197624
14,506.639,3.24969,2.72252,3.1645,0.00955,0.16495,0.0057,0.00157,3.94373,1067.13,24.3773,0.00197426,0.00197426,0.00197426
15,542.969,3.13045,2.73843,3.2371,0.00955,0.16495,0.0057,0.00157,3.94373,1067.13,24.3773,0.00197228,0.00197228,0.00197228
16,576.692,3.13616,2.62502,3.11119,0.01661,0.16495,0.00839,0.00204,3.8135,254.177,13.8541,0.0019703,0.0019703,0.0019703
17,614.2,2.9515,2.76131,3.15465,0.04001,0.10309,0.01557,0.0027,4.14333,15.7931,8.22849,0.00196832,0.00196832,0.00196832
18,654.424,3.2081,2.67645,3.09916,0.03442,0.16495,0.01572,0.00419,4.0022,4.61208,6.37972,0.00196634,0.00196634,0.00196634
19,687.859,2.97797,2.60278,3.00705,0.03442,0.16495,0.01572,0.00419,4.0022,4.61208,6.37972,0.00196436,0.00196436,0.00196436
20,725.65,2.74888,3.40592,2.63944,0.06775,0.16495,0.05949,0.0182,3.05649,2.8104,3.76197,0.00196238,0.00196238,0.00196238
21,762.808,2.94146,2.66668,2.9555,0.08918,0.08247,0.05579,0.01367,3.07757,2.95199,4.21546,0.0019604,0.0019604,0.0019604
22,804.275,3.04791,2.63417,2.9091,0.08918,0.08247,0.05579,0.01367,3.07757,2.95199,4.21546,0.00195842,0.00195842,0.00195842
