epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62017,4.40792,3.92306,4.25704,0,0,0,0,3.95893,3.6996,4.1593,0.0002,0.0002,0.0002
2,10.9969,4.35168,3.7156,4.28103,0,0,0,0,3.9584,3.70288,4.15827,0.000418614,0.000418614,0.000418614
3,15.3304,4.41537,3.67924,4.20411,0,0,0,0,3.95717,3.71478,4.15661,0.000635776,0.000635776,0.000635776
4,19.5808,4.38982,3.6994,4.17363,0,0,0,0,3.95634,3.72158,4.15405,0.000851486,0.000851486,0.000851486
5,23.846,4.26244,3.2852,4.05107,0,0,0,0,3.9624,3.73583,4.15638,0.00106574,0.00106574,0.00106574
6,28.2036,4.09634,3.18313,4.02932,0,0,0,0,3.97289,3.75913,4.16206,0.00127855,0.00127855,0.00127855
7,32.5288,3.95091,3.01256,3.91031,0,0,0,0,3.98471,3.80024,4.16977,0.0014899,0.0014899,0.0014899
8,36.7991,3.85834,2.88446,3.85114,0,0,0,0,3.97297,3.84333,4.16634,0.00169981,0.00169981,0.00169981
9,41.1471,3.7644,3.16141,3.77086,0,0,0,0,3.97297,3.84333,4.16634,0.00190826,0.00190826,0.00190826
10,45.4456,3.77176,2.91056,3.74913,0.013,0.40206,0.01054,0.00305,3.60797,3.21633,3.86278,0.0019406,0.0019406,0.0019406
11,49.9398,3.83432,3.71374,3.64862,0.00859,0.10309,0.00482,0.00152,3.85298,3.74248,4.10467,0.001934,0.001934,0.001934
12,54.1807,3.52448,2.88535,3.59426,0.00859,0.10309,0.00482,0.00152,3.85298,3.74248,4.10467,0.0019274,0.0019274,0.0019274
13,58.5973,3.4065,2.98504,3.55235,0.00385,0.04124,0.00232,0.0009,4.13077,4.52725,4.42663,0.0019208,0.0019208,0.0019208
14,62.918,3.4885,2.94155,3.43984,0.01508,0.37113,0.01242,0.00342,3.58621,3.49861,4.04337,0.0019142,0.0019142,0.0019142
15,67.3538,3.3557,2.92827,3.44055,0.01508,0.37113,0.01242,0.00342,3.58621,3.49861,4.04337,0.0019076,0.0019076,0.0019076
16,71.7705,3.29146,2.77395,3.28658,0.08681,0.17526,0.05766,0.01266,2.9722,2.74275,3.55876,0.001901,0.001901,0.001901
17,76.0057,3.08547,2.84746,3.3028,0.14759,0.13402,0.085,0.02792,2.81755,2.65623,3.38396,0.0018944,0.0018944,0.0018944
18,80.2954,3.30582,2.84503,3.22141,0.10653,0.15464,0.05533,0.0142,2.8817,2.62397,3.33007,0.0018878,0.0018878,0.0018878
19,84.8049,3.12527,2.6703,3.13811,0.10653,0.15464,0.05533,0.0142,2.8817,2.62397,3.33007,0.0018812,0.0018812,0.0018812
20,89.0303,2.83343,4.09439,2.75896,0.12837,0.10309,0.04467,0.01104,3.09054,2.94586,3.39967,0.0018746,0.0018746,0.0018746
21,93.6022,3.13953,2.79433,3.10371,0.04908,0.07216,0.01139,0.0023,3.36332,4.08529,3.98375,0.001868,0.001868,0.001868
22,98.0467,3.21724,2.755,3.04711,0.04908,0.07216,0.01139,0.0023,3.36332,4.08529,3.98375,0.0018614,0.0018614,0.0018614
23,102.461,3.27744,2.6674,2.95199,0.0127,0.1134,0.00671,0.00174,3.35295,3.87063,4.06858,0.0018548,0.0018548,0.0018548
24,106.937,3.17635,2.69659,2.88348,0.01768,0.29897,0.01811,0.00555,3.09098,3.02208,3.41015,0.0018482,0.0018482,0.0018482
25,111.394,3.01315,2.72895,2.96661,0.01768,0.29897,0.01811,0.00555,3.09098,3.02208,3.41015,0.0018416,0.0018416,0.0018416
26,115.668,3.07003,2.57321,2.83282,0.04072,0.12371,0.03054,0.00954,2.81599,2.77984,3.29645,0.001835,0.001835,0.001835
27,119.924,2.9341,2.58943,2.8936,0.12157,0.15464,0.09855,0.02566,2.67136,2.58327,3.02872,0.0018284,0.0018284,0.0018284
28,124.309,3.14484,2.5974,2.85267,0.12157,0.15464,0.09855,0.02566,2.67136,2.58327,3.02872,0.0018218,0.0018218,0.0018218
29,128.603,2.98547,2.8502,2.75188,0.11782,0.29897,0.0893,0.02587,2.6134,2.58637,2.92213,0.0018152,0.0018152,0.0018152
30,132.975,2.98094,2.578,2.79311,0.13542,0.21649,0.10063,0.02665,2.65397,2.48006,2.93103,0.0018086,0.0018086,0.0018086
31,137.298,3.10641,2.53686,2.84533,0.13542,0.21649,0.10063,0.02665,2.65397,2.48006,2.93103,0.001802,0.001802,0.001802
32,141.742,2.94618,2.58392,2.85327,0.2285,0.15464,0.14061,0.03558,2.69786,2.46161,2.95794,0.0017954,0.0017954,0.0017954
