epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.76,4.466,3.81176,4.21247,0,0,0,0,3.95769,3.70555,4.15685,0.0002,0.0002,0.0002
2,80.781,4.2938,3.46957,4.14865,0,0,0,0,3.95867,3.70181,4.15422,0.000418614,0.000418614,0.000418614
3,123.68,4.29581,3.2925,4.0268,0,0,0,0,3.96396,3.69299,4.15418,0.000635776,0.000635776,0.000635776
4,165.952,4.23431,3.291,3.91497,0,0,0,0,3.98683,3.68983,4.16835,0.000851486,0.000851486,0.000851486
5,210.243,4.1139,2.92204,3.83287,0,0,0,0,4.02655,3.86684,4.22682,0.00106574,0.00106574,0.00106574
6,252.223,3.85783,2.96679,3.80273,0,0,0,0,4.11761,4.08202,4.33272,0.00127855,0.00127855,0.00127855
7,297.452,3.78952,3.0294,3.68792,0,0,0,0,4.2132,4.48012,4.46915,0.0014899,0.0014899,0.0014899
8,341.34,3.54395,3.02675,3.58024,0,0,0,0,4.3058,4.88652,4.62719,0.00169981,0.00169981,0.00169981
