epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72211,4.71671,3.85826,4.19284,0,0,0,0,3.95811,3.69587,4.15861,0.0002,0.0002,0.0002
2,5.6438,4.7733,3.78999,4.20081,0,0,0,0,3.95394,3.67619,4.15412,0.000411684,0.000411684,0.000411684
3,7.47023,4.39607,3.66818,4.13025,0,0,0,0,3.9445,3.64648,4.14582,0.000614656,0.000614656,0.000614656
4,9.36912,4.59081,3.54596,4.07155,0,0,0,0,3.92455,3.59965,4.12804,0.000808916,0.000808916,0.000808916
5,11.2066,4.24949,3.38262,4.03091,0.00233,0.07216,0.00125,0.00032,3.91019,3.58026,4.11581,0.000994464,0.000994464,0.000994464
6,13.0729,4.01358,3.17174,4.03558,0.00367,0.1134,0.00205,0.00061,3.88139,3.54397,4.09497,0.0011713,0.0011713,0.0011713
7,14.8729,4.53313,3.05203,3.86017,0.005,0.15464,0.00293,0.00089,3.85212,3.51616,4.07222,0.00133942,0.00133942,0.00133942
8,16.6812,4.17521,2.9489,3.85349,0.00047,0.01031,0.00024,2e-05,3.88704,3.62222,4.09804,0.00149884,0.00149884,0.00149884
9,18.5453,4.0129,3.12232,3.84088,0.00047,0.01031,0.00024,2e-05,3.88704,3.62222,4.09804,0.00164954,0.00164954,0.00164954
10,20.3906,3.87629,2.86236,3.75393,0.00633,0.19588,0.00381,0.00131,3.70387,3.24312,3.96395,0.0016436,0.0016436,0.0016436
11,22.3099,3.65437,2.97234,3.7016,0.013,0.40206,0.01264,0.00393,3.54506,2.91783,3.81896,0.001604,0.001604,0.001604
12,24.1956,3.81192,3.04804,3.62841,0.013,0.40206,0.01264,0.00393,3.54506,2.91783,3.81896,0.0015644,0.0015644,0.0015644
13,26.0061,3.54492,2.68427,3.57202,0.00933,0.28866,0.00669,0.00199,3.60702,3.25366,3.99938,0.0015248,0.0015248,0.0015248
14,27.851,3.6155,2.85121,3.55572,0.01433,0.4433,0.01157,0.00366,3.14216,2.85384,3.63527,0.0014852,0.0014852,0.0014852
15,29.6707,3.48801,2.60607,3.39938,0.01433,0.4433,0.01157,0.00366,3.14216,2.85384,3.63527,0.0014456,0.0014456,0.0014456
16,31.6427,3.47617,2.54976,3.349,0.01878,0.51546,0.02498,0.00758,2.99537,3.02534,3.51045,0.001406,0.001406,0.001406
17,33.5156,3.59247,2.62503,3.26896,0.05806,0.13402,0.04888,0.0139,2.85591,2.79369,3.42039,0.0013664,0.0013664,0.0013664
18,35.509,3.28509,2.82968,3.39213,0.09425,0.17526,0.08664,0.02311,2.79775,2.62701,3.24062,0.0013268,0.0013268,0.0013268
19,37.4322,3.11721,4.49794,2.9378,0.09425,0.17526,0.08664,0.02311,2.79775,2.62701,3.24062,0.0012872,0.0012872,0.0012872
20,39.3042,3.36687,2.63251,3.12222,0.02597,0.70103,0.04679,0.01105,2.85875,2.73501,3.24291,0.0012476,0.0012476,0.0012476
21,41.3462,3.37996,2.76872,3.20848,0.02718,0.76289,0.10212,0.02448,2.8157,2.5876,3.19311,0.001208,0.001208,0.001208
22,43.175,3.2651,2.59509,3.04839,0.02718,0.76289,0.10212,0.02448,2.8157,2.5876,3.19311,0.0011684,0.0011684,0.0011684
23,45.1531,3.24563,2.63536,3.0799,0.34034,0.08247,0.14826,0.03067,2.85623,2.5369,3.13027,0.0011288,0.0011288,0.0011288
24,47.0046,3.18252,2.68669,3.17155,0.23973,0.1658,0.15846,0.03443,2.86385,2.47426,3.08595,0.0010892,0.0010892,0.0010892
25,48.8178,3.26013,2.63276,2.92406,0.23973,0.1658,0.15846,0.03443,2.86385,2.47426,3.08595,0.0010496,0.0010496,0.0010496
26,50.6894,3.18637,2.46747,3.01267,0.23659,0.20132,0.15359,0.03329,2.85894,2.54442,3.01722,0.00101,0.00101,0.00101
27,52.5006,3.35038,2.51184,2.92491,0.21696,0.16495,0.133,0.03648,2.81819,2.58165,2.97998,0.0009704,0.0009704,0.0009704
28,54.276,3.23785,2.59645,2.99727,0.21696,0.16495,0.133,0.03648,2.81819,2.58165,2.97998,0.0009308,0.0009308,0.0009308
29,56.11,3.10961,2.69843,2.99072,0.2071,0.15464,0.12554,0.03614,2.81635,2.59544,2.96116,0.0008912,0.0008912,0.0008912
30,57.9621,3.15961,2.54938,3.05225,0.29936,0.16495,0.17735,0.04608,2.7284,2.5774,2.92355,0.0008516,0.0008516,0.0008516
31,59.8075,3.13043,2.47567,2.94248,0.29936,0.16495,0.17735,0.04608,2.7284,2.5774,2.92355,0.000812,0.000812,0.000812
32,61.6489,3.13407,2.43421,2.91229,0.2639,0.16634,0.20515,0.0552,2.68967,2.5346,2.88514,0.0007724,0.0007724,0.0007724
33,63.5051,3.0389,2.45042,2.9112,0.22495,0.19588,0.19732,0.05866,2.66137,2.48241,2.85792,0.0007328,0.0007328,0.0007328
34,65.4099,3.11179,2.41946,2.87544,0.21341,0.2268,0.18113,0.05518,2.67175,2.47224,2.83087,0.0006932,0.0006932,0.0006932
35,67.3453,3.16382,2.36882,2.84068,0.21341,0.2268,0.18113,0.05518,2.67175,2.47224,2.83087,0.0006536,0.0006536,0.0006536
36,69.1972,3.02629,2.37133,2.88653,0.15244,0.21649,0.14695,0.04652,2.69724,2.4944,2.84133,0.000614,0.000614,0.000614
37,71.0285,3.05199,2.41687,2.76788,0.20828,0.19588,0.16807,0.04978,2.68863,2.44352,2.84257,0.0005744,0.0005744,0.0005744
38,72.894,3.0507,2.40557,2.82822,0.20828,0.19588,0.16807,0.04978,2.68863,2.44352,2.84257,0.0005348,0.0005348,0.0005348
39,74.7909,3.12052,2.45005,2.84143,0.23833,0.24742,0.19335,0.05972,2.65923,2.39414,2.84171,0.0004952,0.0004952,0.0004952
40,76.6927,3.06121,2.35744,2.79769,0.29909,0.27835,0.21514,0.06657,2.64478,2.36529,2.80519,0.0004556,0.0004556,0.0004556
41,114.881,3.0434,2.83973,2.81825,0.29909,0.27835,0.21514,0.06657,2.64478,2.36529,2.80519,0.000416,0.000416,0.000416
42,116.743,2.83596,2.63027,2.74928,0.30318,0.28866,0.23871,0.07012,2.62992,2.36477,2.76721,0.0003764,0.0003764,0.0003764
43,118.619,2.82628,3.04591,2.66761,0.31356,0.28866,0.23485,0.07187,2.5951,2.37471,2.73999,0.0003368,0.0003368,0.0003368
44,120.503,2.81275,2.66885,2.82404,0.31356,0.28866,0.23485,0.07187,2.5951,2.37471,2.73999,0.0002972,0.0002972,0.0002972
45,122.326,2.93548,2.72548,2.64164,0.27982,0.24742,0.24143,0.0747,2.56727,2.36001,2.74594,0.0002576,0.0002576,0.0002576
46,124.192,2.84588,2.62285,2.70331,0.32879,0.24742,0.26057,0.07936,2.55658,2.38548,2.74457,0.000218,0.000218,0.000218
47,126.192,2.75427,2.58404,2.6881,0.32879,0.24742,0.26057,0.07936,2.55658,2.38548,2.74457,0.0001784,0.0001784,0.0001784
48,128.082,2.92005,2.59605,2.80114,0.33365,0.24742,0.26231,0.07992,2.55281,2.38593,2.73098,0.0001388,0.0001388,0.0001388
49,130.044,2.89378,3.7969,2.70896,0.35852,0.28866,0.29261,0.08706,2.55901,2.38489,2.72005,9.92e-05,9.92e-05,9.92e-05
50,132.015,2.85817,2.59176,2.79119,0.40421,0.29897,0.29817,0.08683,2.5539,2.37748,2.71539,5.96e-05,5.96e-05,5.96e-05
