epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,79.22,2.77992,2.32817,2.51726,0.21575,0.23711,0.17835,0.06196,2.39956,2.26861,2.55629,0.00191684,0.00191684,0.00191684
44,81.0202,2.60036,2.33875,2.55556,0.21575,0.23711,0.17835,0.06196,2.39956,2.26861,2.55629,0.00191486,0.00191486,0.00191486
45,82.8779,2.53992,2.3627,2.43926,0.2387,0.3782,0.17649,0.06049,2.33906,2.16926,2.47377,0.00191288,0.00191288,0.00191288
46,84.6831,2.74388,2.37731,2.45256,0.28591,0.34021,0.20597,0.0635,2.33365,2.171,2.46489,0.0019109,0.0019109,0.0019109
47,86.4604,2.55874,2.29316,2.53063,0.28591,0.34021,0.20597,0.0635,2.33365,2.171,2.46489,0.00190892,0.00190892,0.00190892
48,88.2762,2.47,2.65224,2.40847,0.30177,0.31959,0.27769,0.09289,2.26921,2.10738,2.43506,0.00190694,0.00190694,0.00190694
49,90.0688,2.65705,2.20681,2.41361,0.31786,0.38433,0.28748,0.10004,2.25268,2.0644,2.39255,0.00190496,0.00190496,0.00190496
50,91.8477,2.54198,2.37026,2.49257,0.24308,0.39175,0.25712,0.08195,2.27509,2.07675,2.42322,0.00190298,0.00190298,0.00190298
51,93.6729,2.56087,2.2688,2.42047,0.24308,0.39175,0.25712,0.08195,2.27509,2.07675,2.42322,0.001901,0.001901,0.001901
52,95.4857,2.49998,2.19936,2.41162,0.26453,0.29897,0.22241,0.07688,2.37336,2.1221,2.52804,0.00189902,0.00189902,0.00189902
53,97.3917,2.52042,2.12061,2.38057,0.33421,0.46577,0.28887,0.10458,2.20842,2.05683,2.46003,0.00189704,0.00189704,0.00189704
54,99.3713,2.56878,2.19089,2.4116,0.33421,0.46577,0.28887,0.10458,2.20842,2.05683,2.46003,0.00189506,0.00189506,0.00189506
55,101.365,2.55487,2.0385,2.36094,0.35839,0.47797,0.29685,0.1075,2.13043,2.14341,2.33845,0.00189308,0.00189308,0.00189308
56,103.198,2.50501,2.18184,2.3943,0.36532,0.46392,0.3166,0.10587,2.14887,2.20198,2.31986,0.0018911,0.0018911,0.0018911
57,105.007,2.58025,2.20567,2.365,0.36532,0.46392,0.3166,0.10587,2.14887,2.20198,2.31986,0.00188912,0.00188912,0.00188912
58,106.894,2.59878,2.03513,2.3131,0.44062,0.53608,0.42462,0.14733,2.14897,2.01779,2.31258,0.00188714,0.00188714,0.00188714
59,108.702,2.48568,2.04699,2.31022,0.39435,0.50515,0.38417,0.1274,2.17114,2.07392,2.33745,0.00188516,0.00188516,0.00188516
60,110.473,2.43638,2.18844,2.31119,0.39435,0.50515,0.38417,0.1274,2.17114,2.07392,2.33745,0.00188318,0.00188318,0.00188318
61,112.235,2.40269,2.01937,2.22218,0.37404,0.47423,0.38843,0.14467,2.13146,2.02559,2.25205,0.0018812,0.0018812,0.0018812
62,114.046,2.43319,2.03499,2.24367,0.34326,0.4634,0.38982,0.15463,2.19089,1.93595,2.30787,0.00187922,0.00187922,0.00187922
63,115.824,2.36769,2.08459,2.28892,0.34326,0.4634,0.38982,0.15463,2.19089,1.93595,2.30787,0.00187724,0.00187724,0.00187724
64,117.651,2.39232,2.09603,2.3481,0.40849,0.48413,0.38755,0.13281,2.2089,1.9049,2.37936,0.00187526,0.00187526,0.00187526
65,119.449,2.37842,2.14479,2.25602,0.46432,0.48255,0.44542,0.15685,2.13406,1.88457,2.32958,0.00187328,0.00187328,0.00187328
66,121.285,2.4691,2.17285,2.33925,0.4689,0.51884,0.45451,0.17291,2.0281,1.83524,2.24985,0.0018713,0.0018713,0.0018713
67,123.073,2.35098,2.02692,2.23026,0.4689,0.51884,0.45451,0.17291,2.0281,1.83524,2.24985,0.00186932,0.00186932,0.00186932
68,124.886,2.21993,2.09582,2.20842,0.47108,0.48454,0.46358,0.17151,2.06991,1.85166,2.28268,0.00186734,0.00186734,0.00186734
69,126.723,2.38042,2.11915,2.31957,0.42243,0.41237,0.46156,0.14459,2.321,1.87681,2.36335,0.00186536,0.00186536,0.00186536
